Name,Address,Rating,Distance,Latitude,Longitude
Uncle Tony's,"38 Wellington St East Toronto, ON M5E 1C7 Canada ",3.6,1553.000667922188,43.640722,-79.391051
Pizzaiolo - The Pizza Maker's Pizza,"3 Rees Street Toronto, ON M5V 3J2 Canada ",2.2,407.76036855700437,43.640722,-79.391051
King Taps,"620 King St West Suite 101 Toronto, ON M5V 1M6 Canada ",4.5,918.9000542738371,43.640722,-79.391051
Pizza Wine Disco,"788 King Street W Toronto, ON M5V 1N6 Canada ",3.0,1282.4812422240998,43.640722,-79.391051
The Fourth Man In The Fire,"832 Dundas Street W Toronto, ON M6J 1V3 Canada ",3.9,1923.477693683688,43.640722,-79.391051
Maker Pizza,"59 Cameron Street Toronto, ON M5T 2H1 Canada ",3.8,1214.9734895340769,43.640722,-79.391051
New Village pizzeria & bar,"387 King Street W Toronto, ON M5V 1K1 Canada ",2.9,582.2721605358696,43.640722,-79.391051
Pi Co,"60 Colborne Street Toronto, ON M5E 0B7 Canada ",4.0,1641.73359745192,43.640722,-79.391051
Top Nosh Kitchen,"325 Front Street W Toronto, ON M5V 2Y1 Canada ",0.0,296.2204902587785,43.640722,-79.391051
Pizza Pizza,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,745.216497346054,43.640722,-79.391051
Earl's,"601 King Street W Toronto, ON M5V 1M5 Canada ",4.5,307.5831305340221,43.643834,-79.396649
Bridgette Bar,"423 Wellington Street W Toronto, ON M5V 1E7 Canada ",4.1,93.14030038057352,43.643834,-79.396649
Prince Street Pizza,"472 Front Street Avenue West Toronto, ON M5V 0W1 Canada ",3.7,173.93038404639765,43.643834,-79.396649
Georgian House,"147 Spadina Avenue Toronto, ON M5V 2L7 Canada ",4.5,480.6664244538939,43.643834,-79.396649
Pizzeria Libretto,"545 King Street W Toronto, ON M5V 1M1 Canada ",4.0,176.66914975304883,43.643834,-79.396649
PI CO.,"130 Spadina Avenue 2B Toronto, ON M5V 1X9 Canada ",4.1,394.666702304735,43.643834,-79.396649
Beast Pizza,"96 Tecumseth Street Toronto, ON M6J 2H1 Canada ",4.0,733.8224167993507,43.643834,-79.396649
The Parlour,"642 King St W Toronto, ON M5V 1M7 Canada ",3.7,404.06691982299606,43.643834,-79.396649
Fusaro's Kitchen,"147 Spadina Avenue Toronto, ON M5V 2L7 Canada ",4.1,479.4372006350851,43.643834,-79.396649
Jz's Pizza,"232 Wellington Street W Toronto, ON M5V 3W1 Canada ",4.1,581.4052095597342,43.643834,-79.396649
Burning Pizza,"615 Queen Street W Toronto, ON M5V 2B7 Canada ",5.0,617.4403719437354,43.643834,-79.396649
Par-Tee Pong,"26 Duncan St 2nd Floor Toronto, ON M5V 2B8 Canada ",5.0,804.2893113891001,43.643834,-79.396649
Pizzeria Moretti,"328 Wellington Street W The SoHo Hotel Toronto, ON M5V 3T4 Canada ",3.3,358.5556005274118,43.643834,-79.396649
General Assembly Pizza,"331 Adelaide St W Toronto, ON M5V 2G5 Canada ",3.8,475.97033512413554,43.643834,-79.396649
Pizza Karachi,"465 Queen Street W Toronto, ON M5V 2A9 Canada ",5.0,527.029193297868,43.643834,-79.396649
Scaddabush,"200 Front St Unit #G001 Toronto, ON M5V 3J1 Canada ",3.7,890.3261104528489,43.643834,-79.396649
Hey Lucy,"295 King St. W. Toronto, ON M5V 1J5 Canada ",3.5,599.5231239170957,43.643834,-79.396649
Four Brothers Pizza,"540 King Street W Toronto, ON M5V 1M3 Canada ",4.1,185.5270542777405,43.643834,-79.396649
Pizzeria Popolo,"499 Richmond Street W Toronto, ON M5H 2N3 Canada ",0.0,427.2665025259591,43.643834,-79.396649
Midnight Arcade,"158 Augusta Avenue Floor 2 Toronto, ON M5T 2L5 Canada ",4.7,1086.0268768403494,43.643834,-79.396649
Pizzeria Da Mario,"253 Augusta Avenue Toronto, ON M5T 2L8 Canada ",4.6,1328.9037128326954,43.643834,-79.396649
DoughBox,"40 University Avenue Unit 7 Toronto, ON M5J 1T1 Canada ",4.7,1022.8837841121807,43.643834,-79.396649
King Taps,"620 King St West Suite 101 Toronto, ON M5V 1M6 Canada ",4.5,360.028252326678,43.643834,-79.396649
Boston Pizza,"250 Front Street  W Unit 1C201 Toronto, ON M5V 3G5 Canada ",2.7,652.319002021856,43.643834,-79.396649
Ciao Pizzeria,"334 Dundas Street W Toronto, ON M5T 1G5 Canada ",4.6,1203.425828318796,43.643834,-79.396649
Carolina,"772 Dundas Street W Toronto, ON M6J 1V1 Canada ",4.2,1269.7124283119979,43.643834,-79.396649
Mamma's Pizza,"249 Queens Quay W Toronto, ON M5J 2N5 Canada ",3.8,1013.6690135487706,43.643834,-79.396649
Pizza Pizza,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,180.86305827562234,43.643834,-79.396649
Maker Pizza,"59 Cameron Street Toronto, ON M5T 2H1 Canada ",3.8,738.419138099591,43.643834,-79.396649
Pizza North,"669 Queen St W Toronto, ON M6J 1E6 Canada ",0.0,728.9146469725517,43.643834,-79.396649
Pizza Wine Disco,"788 King Street W Toronto, ON M5V 1N6 Canada ",3.0,802.8274327134225,43.643834,-79.396649
Pizza Rustica,"37 Blue Jays Way Toronto, ON M5V 9G9 Canada ",2.4,419.8309875034079,43.643834,-79.396649
Morso Me,"850 King Street W Toronto, ON M5V 1P1 Canada ",4.8,956.0967994201129,43.643834,-79.396649
Pie Bar,"207 Queens Quay W Suite 155 Toronto, ON M5J Canada ",3.4,1441.8057328779853,43.643834,-79.396649
Abeyan Pizza and Grill,"118 John Street Toronto, ON M5V 2E3 Canada ",4.6,676.3179285533695,43.643834,-79.396649
Pizza Nova,"365 Front St W Toronto, ON M5V 3S8 Canada ",3.5,391.80291444565614,43.643834,-79.396649
Taxim Kitchen & Bar,"566 Queen Street W Toronto, ON M5V 2B5 Canada ",0.0,687.6065432005489,43.643834,-79.396649
PI CO.,"170 University Ave Toronto, ON M5H 3B3 Canada ",4.0,1024.805146499486,43.643834,-79.396649
New Village pizzeria & bar,"387 King Street W Toronto, ON M5V 1K1 Canada ",2.9,328.0493455487316,43.643834,-79.396649
Taverniti,"591 College Street Toronto, ON M6G 1B2 Canada ",4.0,1850.256630147034,43.643834,-79.396649
Terroni,"720 Queen Street W Toronto, ON M6J 1E8 Canada ",3.4,1044.0754928698673,43.643834,-79.396649
Cafe Diplomatico Restaurant & Pizzeria,"594 College St Toronto, ON M6G 1B3 Canada ",3.2,1871.3444914568468,43.643834,-79.396649
Pizzeria Libretto,"155 University Avenue Toronto, ON M5H 3B7 Canada ",3.7,1091.261915866693,43.643834,-79.396649
Trattoria Mercatto,"220 Yonge Street Eaton Center Toronto, ON M5B 2H1 Canada ",3.3,1711.6854585665942,43.643834,-79.396649
The Fourth Man In The Fire,"832 Dundas Street W Toronto, ON M6J 1V3 Canada ",3.9,1355.9066785223922,43.643834,-79.396649
Pizzaiolo - The Pizza Maker's Pizza,"123 Spadina Avenue Toronto, ON M5V 2K8 Canada ",3.2,389.1282714999543,43.643834,-79.396649
Danny’s Pizza Tavern,"611 College Street Toronto, ON M6G 1B5 Canada ",4.1,1894.6175113800946,43.643834,-79.396649
Queen Pizza,"238 Queen St W Toronto, ON M5V 1Z7 Canada ",4.0,872.8408455178235,43.643834,-79.396649
Za Cafe Pizzeria + Bar,"372 Bay Street Toronto, ON M5H 2W9 Canada ",4.2,1456.4339551539883,43.643834,-79.396649
Domino's Pizza,"344 Front Street W Unit 107 Toronto, ON M5V 3W7 Canada ",1.7,375.44206960318894,43.643834,-79.396649
Allegro Restaurant,"1280 Finch Avenue W Toronto, ON M3J 3K6 Canada ",0.0,992.1674134982045,43.76073963892478,-79.5000273116394
Nino D'aversa Bakery,"1 Toro Road North York, ON M3J 2A4 Canada ",3.4,910.2337265745631,43.76073963892478,-79.5000273116394
Pizza Nova,"3928 Keele Street Toronto, ON M3J Canada ",3.9,727.3234715128076,43.76073963892478,-79.5000273116394
Sapore Pizza and Wings,"45 Four Winds Drive Toronto, ON M3J 1K7 Canada ",0.0,288.1939452473596,43.76073963892478,-79.5000273116394
