Name,Address_x,Closed bucket,Distance_x,Latitude,Longitude,Address_y,Rating,Distance_y
Giovanni's Italian Kitchen & Pizza Bar,"760A College St, Toronto ON M6G 1C4",LikelyOpen,560,43.651145,-79.423742,"760 College Street Toronto, ON M6G 4A7 Canada ",3.5,559.20403982902
Tony's & Nick's Place,"1470 Dundas St W, Toronto ON M6J 1Y6",LikelyOpen,612,43.651145,-79.423742,"1470 Dundas Street W Toronto, ON M6J 1Y6 Canada ",3.6,603.3672674106795
Tav's Gnocchi Pizza Bar,"589 College St, Toronto ON M6G 1B2",LikelyOpen,927,43.651145,-79.423742,"589 College St Toronto, ON M6G 1B2 Canada ",3.9,936.9696006154064
Pizzeria Libretto,"589 College St, Toronto ON M6G 1B2",LikelyOpen,947,43.651145,-79.423742,"221 Ossington Avenue Toronto, ON M6J 2Z8 Canada ",4.0,362.7297893133808
Pizza Pizza,"1124 Queen St W, Toronto ON M6J 1J3",LikelyOpen,868,43.651145,-79.423742,"1124 Queen Street W Toronto, ON M6J 1J3 Canada ",3.8,865.8441215155846
Pizzeria Libretto,"155 University Ave (at Pearl St), Toronto ON M5H 3B7",VeryLikelyOpen,437,43.647259,-79.379878,"155 University Avenue Toronto, ON M5H 3B7 Canada ",3.7,420.54153080899016
Jz's Pizza,"232 Wellington St W, Toronto ON M5V 3W1",VeryLikelyOpen,818,43.647259,-79.379878,"232 Wellington Street W Toronto, ON M5V 3W1 Canada ",4.1,820.7635836639543
Boston Pizza,"250 Front St W (John St), Toronto ON M5V 3G5",LikelyOpen,776,43.647259,-79.379878,"250 Front Street  W Unit 1C201 Toronto, ON M5V 3G5 Canada ",2.7,779.4770586795254
Mr. Pizza,"16 Yonge St (Yonge And Harbour), Toronto ON M5E 2A1",LikelyOpen,527,43.647259,-79.379878,"16 Yonge Street Toronto, ON M5E 2A1 Canada ",2.9,534.9306566175836
Uncle Tony's,"38 Wellington St E (Wellington and Scott), Toronto ON M5E 1C7",LikelyOpen,411,43.647259,-79.379878,"38 Wellington St East Toronto, ON M5E 1C7 Canada ",3.6,413.7034326276973
Mamma's Pizza,"127 Yonge St, Toronto ON M5C 1W4",VeryLikelyOpen,416,43.647259,-79.379878,"249 Queens Quay W Toronto, ON M5J 2N5 Canada ",3.8,1083.8029065369917
Mamma's Pizza,"127 Yonge St, Toronto ON M5C 1W4",VeryLikelyOpen,416,43.647259,-79.379878,"127 Yonge St Toronto, ON M5C 1X3 Canada ",2.3,432.8396329429594
Za Cafe Pizzeria + Bar,"372 Bay St, Toronto ON M5H 2W9",VeryLikelyOpen,434,43.647259,-79.379878,"372 Bay Street Toronto, ON M5H 2W9 Canada ",4.2,439.0370123408222
Pi Co,"60 Colborne St, Toronto ON M5E 0B7",VeryLikelyOpen,500,43.647259,-79.379878,"60 Colborne Street Toronto, ON M5E 0B7 Canada ",4.0,490.86435697432665
Boston Pizza,"11 Channel Ave, Toronto ON M5J 1Y6",LikelyOpen,768,43.647259,-79.379878,"250 Front Street  W Unit 1C201 Toronto, ON M5V 3G5 Canada ",2.7,779.4770586795254
CiCi's Pizza,"1618 Queen St W (Callender St), Toronto ON M6R 1A8",VeryLikelyOpen,533,43.6397,-79.44865,"1618 Queen Street W Toronto, ON M6R 1A8 Canada ",3.8,526.1113220490043
241 Pizza,"1468 Queen St W (Queen), Toronto ON M6K 1M4",LikelyOpen,943,43.6397,-79.44865,"1468 Queen Street West Toronto, ON M6K 1X2 Canada ",3.0,955.0022460018243
F'Amelia,"12 Amelia St (Parliament St), Toronto ON M4X 1E1",VeryLikelyOpen,405,43.666233,-79.373327,"12 Amelia Street Toronto, ON M4X 1E1 Canada ",3.5,401.7506393676581
